superkingdom,phylum,class,order,family,Max,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,Max
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,0.0029,0.000244,0.000148,0.00014,0.000248,0.000294,0.000148,0.000191,0.000154,0.0001,0.000679,0.000318,0.000546,0.001814,0.000365,0.000213,0.000526,0.000067,0.000583,0.000339,0.001447,0.000486,0.00291,0.000848,0.000475,0.000016,0.000016,0.00187,0.000386,0.000108,0.000171,0.000694,0.00052,0.000191,0.000491,0.000027,0.000016,0.000138,0.00048,0.00076,0.000023,0.000035,0.000005,0.000208,0.000622,0.000216,0.000263,0.000536,0.000173,0.000231,0.000096,0.000198,0.000025,0.000195,0.000409,0.000436,0.000038,0.000034,0.000057,0.000257,0.000426,0.00023,0.000056,0.00291
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,0.1356,0.000617,0.001484,0.00191,0.001707,0.001122,0.004809,0.002151,0.000674,0.000643,0.015506,0.00301,0.009217,0.008828,0.039441,0.000917,0.135608,0.000564,0.001865,0.008528,0.05709,0.006901,0.002725,0.00376,0.00065,0.000055,0.000118,0.00072,0.000381,0.00037,0.000511,0.001405,0.001193,0.000588,0.002517,0.00058,0.000362,0.000353,0.002126,0.001976,0.000091,0.000143,0.00005,0.000815,0.002103,0.001031,0.002171,0.002781,0.000999,0.00135,0.000509,0.001215,0.000673,0.000834,0.001532,0.007615,0.000278,0.00018,0.000758,0.000799,0.001399,0.00223,0.000466,0.135608
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,0.6843,0.002108,0.002054,0.002798,0.003713,0.002432,0.002404,0.001325,0.538006,0.68428,0.000795,0.000385,0.000421,0.001357,0.001158,0.534245,0.006358,0.55304,0.008993,0.013759,0.001775,0.000405,0.001279,0.002835,0.000484,0.000029,0.000138,0.000539,0.000352,0.000634,0.000827,0.00339,0.002361,0.001134,0.003313,0.000459,0.000133,0.001291,0.0037,0.003087,0.000129,0.000229,0.000054,0.001574,0.003196,0.001478,0.002371,0.004202,0.001304,0.002934,0.000633,0.001309,0.000251,0.001336,0.003218,0.00343,0.00217,0.000202,0.000637,0.001736,0.002206,0.006087,0.000226,0.68428
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,0.0017,0.001681,0.000162,0.000504,0.000367,0.000435,0.000212,0.000116,0.001049,0.000334,0.000056,0.000037,0.000061,0.000493,0.000099,0.00139,0.001111,0.000332,0.000819,0.000038,0.000362,0.000032,0.000293,0.000283,0.000068,0.000003,0.000004,0.000137,0.000067,0.000078,0.00011,0.000467,0.000478,0.000127,0.000434,0.000025,0.00001,0.000101,0.000532,0.000455,0.000014,0.000037,0.000005,0.000231,0.000497,0.000185,0.000282,0.00062,0.000102,0.00042,0.000242,0.000152,0.000048,0.000176,0.000504,0.000363,0.000035,0.000017,0.000051,0.000242,0.000299,0.000261,0.000024,0.001681
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,0.1687,0.024503,0.01515,0.029619,0.04192,0.018171,0.006697,0.008976,0.015713,0.004398,0.014088,0.021278,0.043186,0.092152,0.087573,0.019884,0.09693,0.002857,0.168661,0.007878,0.025499,0.01963,0.070891,0.007167,0.003285,0.000111,0.000099,0.056996,0.003195,0.001367,0.001564,0.008244,0.002949,0.002391,0.010415,0.000718,0.000295,0.001879,0.004657,0.008587,0.000555,0.001433,0.000343,0.002203,0.005196,0.002932,0.004694,0.006443,0.002081,0.005524,0.00478,0.001997,0.000703,0.002858,0.003256,0.008058,0.002056,0.000389,0.002885,0.003429,0.003929,0.004513,0.000948,0.168661
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,0.1393,0.018154,0.063853,0.136471,0.139262,0.045548,0.037228,0.033797,0.026883,0.011474,0.017835,0.027319,0.017249,0.06076,0.025485,0.008123,0.012061,0.026161,0.024993,0.01661,0.04188,0.007772,0.021757,0.067883,0.078307,0.00322,0.004866,0.080576,0.083045,0.008429,0.0106,0.026462,0.014491,0.014966,0.044617,0.006277,0.005056,0.016708,0.021015,0.052484,0.002693,0.002387,0.002276,0.023802,0.1239,0.032892,0.045245,0.056721,0.027217,0.101967,0.016059,0.035415,0.005089,0.020925,0.026726,0.041239,0.007627,0.005075,0.016779,0.012177,0.067486,0.023519,0.00586,0.139262
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,0.2323,0.232348,0.001014,0.000992,0.002643,0.001197,0.003651,0.002315,0.000143,0.000091,0.000852,0.000209,0.000199,0.00107,0.000818,0.000155,0.000686,0.000117,0.001231,0.000444,0.001009,0.000816,0.003807,0.013945,0.001041,0.000108,0.000067,0.000653,0.001138,0.001309,0.001314,0.005846,0.002985,0.001347,0.005214,0.000278,0.000122,0.001331,0.003347,0.009252,0.00009,0.000098,0.000058,0.001756,0.006523,0.002806,0.002936,0.004175,0.001036,0.003948,0.000581,0.00205,0.000264,0.001134,0.004226,0.005816,0.000365,0.000168,0.000402,0.002189,0.003218,0.002003,0.002285,0.232348
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,0.0042,0.001437,0.000356,0.000557,0.000829,0.004157,0.000489,0.000669,0.000025,0.000015,0.000417,0.00006,0.000099,0.000173,0.000164,0.000026,0.000175,0.000016,0.000536,0.000149,0.000439,0.000438,0.001024,0.000036,0.000063,0.000001,0.000001,0.000021,0.000013,0.000118,0.000159,0.00046,0.000183,0.000115,0.000679,0.000083,0.000026,0.000132,0.000385,0.000499,0.000012,0.000038,0.000011,0.00168,0.00043,0.000315,0.001044,0.000535,0.00018,0.001144,0.000101,0.000202,0.000074,0.000144,0.000251,0.000641,0.000051,0.000022,0.000103,0.000911,0.000494,0.000233,0.000046,0.004157
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,0.2595,0.0104,0.047939,0.067278,0.058545,0.073808,0.036498,0.052121,0.000941,0.000515,0.008804,0.003659,0.003203,0.006236,0.010505,0.001598,0.001524,0.000611,0.006924,0.010913,0.093133,0.004719,0.011904,0.00466,0.066337,0.000216,0.00015,0.031653,0.000971,0.009836,0.020113,0.028822,0.026011,0.068287,0.054927,0.012138,0.008883,0.019185,0.052833,0.045363,0.000222,0.00817,0.000438,0.022164,0.246189,0.115547,0.068072,0.259466,0.16749,0.258133,0.076627,0.04289,0.007933,0.042164,0.039789,0.076022,0.025174,0.012432,0.060016,0.029459,0.030391,0.031559,0.008947,0.259466
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,0.6933,0.029819,0.186121,0.26455,0.252229,0.070347,0.117654,0.082967,0.0273,0.014714,0.19439,0.280528,0.299679,0.459504,0.693284,0.055989,0.662611,0.012342,0.391366,0.112536,0.330322,0.075229,0.240625,0.190862,0.095667,0.00393,0.010266,0.094806,0.015994,0.02122,0.038276,0.170998,0.022362,0.049917,0.088751,0.027316,0.009085,0.023912,0.04938,0.127744,0.006862,0.021471,0.005797,0.026774,0.137722,0.085449,0.206133,0.125757,0.133779,0.162485,0.095637,0.063646,0.015681,0.086933,0.072702,0.204225,0.030222,0.037462,0.07321,0.034565,0.044213,0.101458,0.020496,0.693284
Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,0.0057,0.001144,0.002025,0.002984,0.001567,0.005743,0.003613,0.003716,0.000039,0.000021,0.000019,0.000033,0.000019,0.000025,0.000008,0.000041,0.000025,0.000035,0.000029,0.00002,0.000022,0.000012,0.000017,0.000025,0.000007,0.000001,0.000001,0.000012,0.000037,0.000807,0.001295,0.001273,0.000666,0.00037,0.002299,0.000134,0.00105,0.000558,0.000747,0.000866,0.000015,0.000025,0.000049,0.001408,0.00112,0.001267,0.001326,0.001179,0.00069,0.000983,0.000218,0.001709,0.001344,0.000748,0.001351,0.001179,0.000749,0.000194,0.001252,0.000908,0.001111,0.001781,0.000304,0.005743
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,0.002,0.000529,0.0008,0.00108,0.000903,0.002006,0.000997,0.001141,0.000162,0.000082,0.000055,0.000121,0.000105,0.000148,0.000121,0.000097,0.000055,0.000137,0.000141,0.000042,0.000134,0.000035,0.000084,0.001127,0.000113,0.000027,0.000028,0.000072,0.000219,0.000442,0.000356,0.000693,0.000561,0.000295,0.001214,0.000165,0.000073,0.000232,0.00055,0.001004,0.000088,0.000086,0.000018,0.000466,0.000965,0.000676,0.001207,0.001482,0.000334,0.001049,0.000177,0.000418,0.000164,0.000632,0.000793,0.001844,0.000174,0.000103,0.000337,0.000422,0.000899,0.000833,0.000109,0.002006
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,0.0664,0.066435,0.003004,0.003241,0.009888,0.001758,0.002279,0.002513,0.000266,0.000208,0.001572,0.003396,0.001809,0.002536,0.023811,0.000289,0.001077,0.000248,0.034712,0.001505,0.003019,0.001097,0.023315,0.005825,0.016337,0.000131,0.00011,0.00357,0.005974,0.001136,0.00149,0.003405,0.001871,0.001565,0.006371,0.000698,0.000375,0.001374,0.002494,0.006665,0.000099,0.000245,0.000121,0.001997,0.006266,0.004074,0.004014,0.007357,0.001393,0.005129,0.006176,0.0021,0.000555,0.001932,0.003165,0.005197,0.000632,0.000645,0.001396,0.001851,0.003472,0.002705,0.001079,0.066435
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,0.3822,0.025139,0.305776,0.175791,0.181011,0.1738,0.158589,0.382205,0.042877,0.02474,0.351476,0.007061,0.005359,0.008768,0.032253,0.113179,0.01795,0.02024,0.067067,0.369029,0.239184,0.178956,0.195329,0.002576,0.00257,0.000225,0.000114,0.002497,0.005609,0.030101,0.084478,0.09764,0.04354,0.034172,0.294814,0.012427,0.014967,0.012857,0.141913,0.095463,0.000831,0.011188,0.001104,0.047054,0.163992,0.102487,0.192134,0.101992,0.080888,0.108967,0.050657,0.117759,0.022299,0.025319,0.061434,0.30016,0.029871,0.016873,0.065337,0.105603,0.159468,0.078514,0.006611,0.382205
