taxid,desc,superkingdom,phylum,class,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
200643,Bacteroidia,Bacteria,Bacteroidetes,Bacteroidia,0.049878,0.034798,0.06258,0.045406,0.060553,0.367003,0.074857,0.01243,0.031993,0.004138,0.002207,0.000778,0.001281,0.007414,0.00068,0.001184,0.149586,0.00279,0.016101,0.002809,0.007928,0.022989,0.07291,0.583023,0.129316,0.202564,0.323019,0.724988,0.871235,0.759816,0.511093,0.815559,0.78491,0.344029,0.920524,0.945177,0.84986,0.643401,0.554529,0.952102,0.933857,0.966696,0.719143,0.201043,0.579183,0.272284,0.251517,0.454598,0.158694,0.647355,0.613811,0.886713,0.708728,0.671694,0.224933,0.810287,0.897327,0.694745,0.466098,0.55526,0.662798,0.8977
1236,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,0.118192,0.119387,0.105401,0.071997,0.016745,0.038598,0.165104,0.01168,0.006217,0.001975,0.001378,0.003601,0.000826,0.063723,0.003379,0.002999,0.004214,0.013977,0.000539,0.000904,0.000564,0.004019,0.239719,0.096227,0.852605,0.760643,0.371583,0.091959,0.002162,0.001731,0.005246,0.003294,0.004591,0.004766,0.001248,0.000714,0.004075,0.00275,0.011508,0.004361,0.001701,0.000517,0.003745,0.004483,0.002154,0.003395,0.005247,0.001441,0.003025,0.011789,0.002519,0.000887,0.006787,0.01201,0.006485,0.001375,0.000727,0.002031,0.002713,0.003666,0.004882,0.001907
186801,Clostridia,Bacteria,Firmicutes,Clostridia,0.390615,0.628603,0.67739,0.665369,0.404485,0.382177,0.582468,0.100386,0.052662,0.578855,0.323238,0.32849,0.540921,0.787489,0.181456,0.697658,0.061595,0.529707,0.515075,0.713332,0.271132,0.501669,0.289325,0.263003,0.007927,0.015675,0.216008,0.114937,0.078475,0.163278,0.34634,0.118085,0.17735,0.51594,0.062274,0.04286,0.082262,0.280871,0.352897,0.011565,0.044817,0.010266,0.135313,0.708883,0.36032,0.540254,0.577877,0.427493,0.661221,0.25348,0.276169,0.056764,0.188456,0.222252,0.656033,0.099069,0.075569,0.226317,0.193721,0.322761,0.254635,0.047823
91061,Bacilli,Bacteria,Firmicutes,Bacilli,0.043522,0.022401,0.040182,0.054137,0.028549,0.017175,0.016189,0.556491,0.690144,0.032001,0.025652,0.054081,0.107819,0.129641,0.557311,0.241585,0.557359,0.182563,0.030983,0.087973,0.02792,0.080635,0.223392,0.006456,0.003396,0.007265,0.061465,0.005699,0.004035,0.004728,0.021331,0.012564,0.006394,0.023823,0.002485,0.001206,0.005466,0.017777,0.022468,0.001035,0.002157,0.000549,0.007469,0.01863,0.008873,0.013683,0.022259,0.005894,0.014884,0.007161,0.007117,0.002169,0.00767,0.014397,0.024663,0.00512,0.001133,0.005347,0.009151,0.012946,0.016706,0.002033
1760,Actinobacteria,Bacteria,Actinobacteria,Actinobacteria,0.029158,0.134261,0.046525,0.046986,0.330316,0.03586,0.040938,0.157166,0.094784,0.355444,0.633078,0.586505,0.299646,0.00374,0.227068,0.014254,0.063752,0.198341,0.393538,0.108156,0.682051,0.296599,0.105463,0.001219,0.000272,0.001719,0.00179,0.000583,0.002756,0.004692,0.003554,0.004148,0.002009,0.006177,0.000668,0.001555,0.002372,0.00243,0.00766,0.001249,0.001164,0.00048,0.007278,0.010044,0.007245,0.009605,0.015924,0.002945,0.007396,0.004648,0.003895,0.001522,0.002628,0.004117,0.019876,0.028535,0.001925,0.002719,0.021309,0.016773,0.016854,0.000659
909932,Negativicutes,Bacteria,Firmicutes,Negativicutes,0.023512,0.025434,0.014446,0.008085,0.009989,0.007853,0.014872,0.124633,0.102607,0.012514,0.002211,0.009351,0.008555,0.004154,0.016683,0.010061,0.115858,0.014973,0.033142,0.050438,0.001708,0.052274,0.001342,0.001131,0.00039,0.000271,0.003007,0.013844,0.003777,0.003817,0.009676,0.009402,0.004253,0.060255,0.002155,0.00202,0.033516,0.005907,0.006768,0.016691,0.0027,0.006615,0.075362,0.011541,0.010179,0.114464,0.007111,0.058902,0.025122,0.038965,0.051323,0.002149,0.005641,0.004522,0.027353,0.003953,0.003859,0.055435,0.274448,0.013594,0.008604,0.00427
183925,Methanobacteria,Archaea,Euryarchaeota,Methanobacteria,0.198541,0.003662,0.003729,0.041561,0.031592,0.081627,0.035548,0.000009,0.000011,0.000014,0.000007,0.000006,0.00007,0.000013,0.000009,0.000006,0.000011,0.000032,0.000005,0.000052,0.000009,0.000053,0.000115,0.000054,0,0.000004,0.000058,0.000064,0.000062,0.00007,0.004011,0.000525,0.000069,0.001243,0.000026,0.000018,0.000658,0.000599,0.000286,0.000017,0.000011,0.000001,0.000115,0.000618,0.005389,0.013042,0.010325,0.000052,0.000154,0.000043,0.000201,0.000014,0.00012,0.000458,0.000222,0.000021,0.000012,0.000028,0.000057,0.000101,0.001474,0.000013
203494,Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,0.00721,0.004198,0.021177,0.031133,0.069623,0.022583,0.038136,0.000004,0.000002,0.000004,0.000003,0.000002,0.000004,0,0.000004,0,0.000004,0.000001,0.000004,0.000003,0.000007,0.000004,0.00013,0.000001,0.000032,0.000024,0.000001,0.000006,0.001126,0.001885,0.00707,0.005969,0.000125,0.002816,0.001294,0.000111,0.000042,0.006812,0.00067,0.000001,0.000015,0.000093,0.021574,0.000259,0.00057,0.00023,0.059172,0.000363,0.084479,0.000007,0.011734,0.007332,0.002091,0.004244,0.000051,0.013745,0.000034,0.000018,0.008282,0.044871,0.009347,0.038663
203490,Fusobacteriia,Bacteria,Fusobacteria,Fusobacteriia,0.066637,0.00057,0.000567,0.001903,0.000451,0.018726,0.000686,0.029622,0.012654,0.000294,0.000161,0.000111,0.000713,0.000326,0.000179,0.000215,0.020636,0.00048,0.001864,0.000598,0.000187,0.000617,0.001131,0.00122,0.000032,0.000046,0.001696,0.002127,0.000684,0.000859,0.003828,0.002148,0.000978,0.003928,0.000234,0.000078,0.000898,0.002269,0.005253,0.000123,0.000123,0.000089,0.001004,0.003982,0.001805,0.001771,0.003091,0.000593,0.001812,0.000524,0.001385,0.000185,0.001042,0.003848,0.002299,0.000205,0.006118,0.000264,0.000984,0.002044,0.001256,0.000293
526524,Erysipelotrichi,Bacteria,Firmicutes,Erysipelotrichi,0.055928,0.015149,0.015437,0.01796,0.0118,0.011837,0.00906,0.004263,0.001854,0.013261,0.010984,0.016123,0.037403,0.002617,0.011534,0.031125,0.001511,0.055427,0.00704,0.032335,0.0072,0.033258,0.027796,0.038327,0.002023,0.003057,0.013841,0.036941,0.002588,0.003891,0.055667,0.006347,0.003894,0.014777,0.002093,0.000804,0.00489,0.015558,0.015392,0.0005,0.001858,0.000488,0.005012,0.020768,0.010152,0.020302,0.020588,0.010307,0.030029,0.018134,0.017704,0.00175,0.011541,0.008238,0.024244,0.00231,0.001687,0.005669,0.009601,0.008737,0.006812,0.004086
