taxid,desc,superkingdom,phylum,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-58-Time1,CD-58-Time2,CD-58-Time3,CD-68-Time1,CD-68-Time2,CD-68-Time3,CD-92-Time1,CD-92-Time2,CD-92-Time3,CD-104-Time1,CD-104-Time2,CD-104-Time3,CD-33-Time1,CD-33-Time2,CD-33-Time3,UC10010302CD,UC20020003M,UC20020002CD,UC20020003CD,UC20020004M,UC20020002M,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,HE-SRS012849,HE-SRS012969,HE-SRS013098,HE-SRS013476,HE-SRS013521,HE-SRS013638,HE-SRS013639,HE-SRS013800,HE-SRS014287,HE-SRS014313,HE-SRS014459,HE-SRS014613,HE-SRS014683,HE-SRS015133,HE-SRS015190,HE-SRS015264,HE-SRS015369,HE-SRS015431,HE-SRS015782,HE-SRS015794,HE-SRS015854,HE-SRS015890,HE-SRS015960,HE-SRS016056,HE-SRS016203,HE-SRS016267,HE-SRS016437,HE-SRS016438,HE-SRS016517,HE-SRS016585,HE-SRS016753,HE-SRS016954,HE-SRS016989,HE-SRS017191,HE-SRS017247,HE-SRS017307,HE-SRS017521,HE-SRS017701,HE-SRS017821,HE-SRS017916,HE-SRS018133,HE-SRS018313,HE-SRS018351,HE-SRS018575,HE-SRS018817,HE-SRS018984,HE-SRS019030,HE-SRS019068,HE-SRS019161,HE-SRS019267,HE-SRS019381,HE-SRS019397,HE-SRS019582,HE-SRS019601,HE-SRS019685,HE-SRS019787,HE-SRS019910,HE-SRS019968,HE-SRS020233,HE-SRS020622,HE-SRS021153,HE-SRS021219,HE-SRS021484,HE-SRS021948,HE-SRS022071,HE-SRS022137,HE-SRS022524,HE-SRS022609,HE-SRS023176,HE-SRS023346,HE-SRS023526,HE-SRS023583,HE-SRS023829,HE-SRS023914,HE-SRS023971,HE-SRS024009,HE-SRS024075,HE-SRS024132,HE-SRS024265,HE-SRS024331,HE-SRS024388,HE-SRS024435,HE-SRS024549,HE-SRS024625,HE-SRS024663,HE-SRS042284,HE-SRS042628,HE-SRS043001,HE-SRS043411,HE-SRS043667,HE-SRS043701,HE-SRS045004,HE-SRS045528,HE-SRS045645,HE-SRS045713,HE-SRS045739,HE-SRS047014,HE-SRS047044,HE-SRS048164,HE-SRS048870,HE-SRS049164,HE-SRS049402,HE-SRS049712,HE-SRS049896,HE-SRS049900,HE-SRS049959,HE-SRS049995,HE-SRS050026,HE-SRS050299,HE-SRS050422,HE-SRS050752,HE-SRS050925,HE-SRS051031,HE-SRS051882,HE-SRS052027,HE-SRS052697,HE-SRS053214,HE-SRS053335,HE-SRS053356,HE-SRS053398,HE-SRS053573,HE-SRS053649,HE-SRS054352,HE-SRS054590,HE-SRS054956,HE-SRS055533,HE-SRS055982,HE-SRS056259,HE-SRS056273,HE-SRS056519,HE-SRS057478,HE-SRS057717,HE-SRS058070,HE-SRS058723,HE-SRS058770,HE-SRS062427,HE-SRS063040,HE-SRS063489,HE-SRS063518,HE-SRS063985,HE-SRS064276,HE-SRS064557,HE-SRS064645,HE-SRS064973,HE-SRS065504,HE-SRS074670,HE-SRS074964,HE-SRS075078,HE-SRS075341,HE-SRS075398,HE-SRS075963,HE-SRS076929,HE-SRS077086,HE-SRS077194,HE-SRS077294,HE-SRS077335,HE-SRS077502,HE-SRS077552,HE-SRS077730,HE-SRS077753,HE-SRS077849,HE-SRS078176,HE-SRS078242,HE-SRS078419,HE-SRS078665,HE-SRS097889,HE-SRS098514,HE-SRS098571,HE-SRS098644,HE-SRS098717,HE-SRS098827,HE-SRS098881,HE-SRS100021,HE-SRS101376,HE-SRS101433,HE-SRS103987,HE-SRS104197,HE-SRS104311,HE-SRS104400,HE-SRS104485,HE-SRS105082,HE-SRS105153,HE-SRS140492,HE-SRS140513,HE-SRS140645,HE-SRS142503,HE-SRS142505,HE-SRS142599,HE-SRS142712
976,Bacteroidetes,Bacteria,Bacteroidetes,0.050462,0.035255,0.063104,0.046371,0.061466,0.368478,0.075461,0.012518,0.032056,0.004203,0.002365,0.000856,0.00146,0.007486,0.00072,0.001239,0.14978,0.002884,0.016147,0.002921,0.007971,0.02315,0.082199,0.58404,0.131838,0.210312,0.323786,0.726138,0.873807,0.761706,0.515005,0.81761,0.786856,0.346553,0.921834,0.946143,0.855132,0.645586,0.557373,0.952599,0.934735,0.966975,0.728344,0.203449,0.580988,0.273668,0.253885,0.455623,0.159873,0.647784,0.616981,0.889595,0.71332,0.675068,0.226306,0.811864,0.903437,0.696105,0.468511,0.55858,0.664974,0.899077,0.778569,0.811527,0.732711,0.561252,0.973442,0.325837,0.689451,0.961552,0.580935,0.865998,0.536115,0.822183,0.886169,0.389965,0.912941,0.777805,0.959415,0.527107,0.657433,0.86164,0.666849,0.940431,0.901341,0.95861,0.716295,0.935876,0.599169,0.983406,0.210989,0.02045,0.954079,0.832654,0.923638,0.875541,0.971349,0.881954,0.724278,0.951936,0.899278,0.395641,0.956761,0.914378,0.753573,0.909368,0.894563,0.926441,0.850445,0.523261,0.736384,0.951429,0.943006,0.852148,0.595122,0.74753,0.799059,0.922183,0.847201,0.843031,0.751289,0.985734,0.946134,0.956508,0.863561,0.878774,0.769717,0.898931,0.751856,0.747915,0.936647,0.898235,0.820599,0.972438,0.911951,0.599999,0.965437,0.947767,0.906403,0.459558,0.798168,0.838278,0.959431,0.834508,0.867286,0.934137,0.897097,0.853087,0.340959,0.892626,0.844221,0.845907,0.859299,0.904324,0.841991,0.940957,0.938205,0.932714,0.702508,0.951033,0.827934,0.839272,0.672923,0.799811,0.828535,0.852054,0.922803,0.485135,0.912364,0.938208,0.958054,0.401033,0.748052,0.765128,0.755505,0.796389,0.82978,0.686521,0.881996,0.77984,0.378613,0.864429,0.936914,0.948974,0.898534,0.900313,0.667492,0.936705,0.877246,0.86312,0.776958,0.897866,0.892028,0.882396,0.662524,0.919098,0.933012,0.91266,0.74398,0.97205,0.309383,0.501039,0.519274,0.958513,0.887234,0.973994,0.725659,0.947855,0.922547,0.835888,0.790014,0.738462,0.732042,0.72541,0.945571,0.820101,0.71958,0.911448,0.597909,0.928068,0.920725,0.904201,0.865225,0.851158,0.876437,0.857701,0.946384,0.774943,0.813909,0.78216,0.604393,0.736112,0.935974,0.830085,0.904724,0.826053,0.881101,0.949715,0.830181,0.661124,0.676429,0.941403,0.896346,0.79725,0.692184,0.917637,0.903083,0.743495,0.245941,0.851323,0.90873
1239,Firmicutes,Bacteria,Firmicutes,0.513577,0.691587,0.747455,0.745551,0.454823,0.419042,0.622588,0.785773,0.847267,0.636631,0.362085,0.408045,0.694698,0.923902,0.766984,0.98043,0.736324,0.78267,0.58624,0.884079,0.307959,0.667836,0.541856,0.308917,0.013736,0.026268,0.294321,0.171421,0.088875,0.175713,0.433014,0.146398,0.191892,0.614796,0.069006,0.04689,0.126134,0.320114,0.397526,0.029791,0.051532,0.017918,0.223157,0.759822,0.389523,0.688704,0.627835,0.502596,0.731255,0.317741,0.352312,0.062832,0.213307,0.249408,0.732294,0.110453,0.082248,0.292767,0.48692,0.358039,0.286756,0.058212,0.176515,0.165219,0.207823,0.425711,0.019671,0.142937,0.276304,0.020348,0.413656,0.121656,0.439031,0.161465,0.09893,0.558988,0.076982,0.202565,0.024356,0.464245,0.312678,0.123808,0.288575,0.052226,0.078903,0.020272,0.251833,0.041556,0.008519,0.012286,0.707566,0.008122,0.02645,0.164119,0.064429,0.109113,0.025106,0.102072,0.237624,0.043858,0.085517,0.570257,0.020941,0.076917,0.205896,0.054812,0.099531,0.067909,0.119475,0.461772,0.247067,0.03628,0.051731,0.135573,0.385794,0.231137,0.172601,0.049747,0.126214,0.147083,0.232783,0.011137,0.044733,0.022112,0.094766,0.086602,0.197315,0.091148,0.223025,0.216585,0.052806,0.083338,0.14629,0.025264,0.082436,0.382053,0.030298,0.047501,0.081138,0.5195,0.197439,0.11859,0.039328,0.134211,0.038195,0.060273,0.095332,0.134377,0.624774,0.101035,0.136431,0.075612,0.126628,0.080502,0.120868,0.046404,0.037209,0.041908,0.287181,0.04262,0.157755,0.150105,0.309737,0.140589,0.142561,0.126192,0.074816,0.478396,0.081189,0.045019,0.0306,0.538736,0.208127,0.213159,0.223042,0.186611,0.144475,0.290152,0.100581,0.204406,0.533369,0.122225,0.037562,0.035562,0.081774,0.087505,0.302546,0.051032,0.116589,0.129568,0.182847,0.06094,0.101592,0.092235,0.258296,0.064246,0.059147,0.069155,0.24442,0.023019,0.667887,0.470585,0.438787,0.032773,0.108572,0.014303,0.247897,0.025134,0.05945,0.126395,0.16507,0.251309,0.157963,0.231979,0.03587,0.13273,0.14346,0.078839,0.367594,0.059475,0.071017,0.078129,0.097729,0.137494,0.111172,0.113679,0.02456,0.21036,0.170627,0.181887,0.363669,0.208725,0.049808,0.139796,0.082119,0.123788,0.106306,0.031207,0.153673,0.304086,0.285314,0.050242,0.060195,0.190337,0.240914,0.067555,0.07056,0.243572,0.122894,0.137317,0.084996
1224,Proteobacteria,Bacteria,Proteobacteria,0.129208,0.125176,0.11152,0.078556,0.032986,0.046611,0.179229,0.014082,0.012757,0.002335,0.001766,0.004051,0.001647,0.063965,0.004261,0.003258,0.02883,0.014597,0.001598,0.001333,0.000933,0.004925,0.263207,0.10287,0.853856,0.761046,0.37549,0.098301,0.029268,0.051184,0.017435,0.012087,0.014308,0.010866,0.00573,0.004582,0.007484,0.011121,0.019136,0.015878,0.011753,0.014328,0.006524,0.011055,0.008103,0.00751,0.012902,0.03576,0.008829,0.02793,0.008492,0.037433,0.059091,0.050085,0.010323,0.034072,0.005633,0.006114,0.006555,0.011127,0.01221,0.002534,0.023311,0.016398,0.02119,0.005339,0.005723,0.181201,0.013792,0.017673,0.00392,0.008517,0.02139,0.01476,0.007395,0.013282,0.009641,0.015336,0.014942,0.004131,0.022,0.012726,0.031221,0.005895,0.018199,0.020303,0.020833,0.020237,0.08017,0.003892,0.031363,0.969355,0.01779,0.002479,0.010985,0.014212,0.001637,0.014335,0.024389,0.002808,0.013755,0.018841,0.01981,0.004016,0.025501,0.032167,0.004651,0.004449,0.025475,0.00928,0.008924,0.010733,0.003424,0.011401,0.006941,0.003761,0.022481,0.009729,0.020235,0.002421,0.006362,0.002598,0.007861,0.011787,0.038086,0.014858,0.011717,0.007203,0.014057,0.03112,0.002289,0.018002,0.028074,0.001729,0.004325,0.004762,0.003643,0.003319,0.00193,0.011968,0.002525,0.035372,0.000986,0.017754,0.092556,0.004956,0.005843,0.012093,0.018942,0.005287,0.013048,0.0756,0.013259,0.012811,0.00589,0.010677,0.020646,0.02284,0.006552,0.005019,0.010759,0.004403,0.00758,0.047002,0.023823,0.015833,0.001024,0.025432,0.002083,0.011783,0.005322,0.036257,0.015701,0.019185,0.012713,0.012157,0.024794,0.012966,0.00182,0.01337,0.025763,0.010754,0.004718,0.013662,0.010813,0.010765,0.028264,0.00419,0.004417,0.006052,0.026243,0.040362,0.005838,0.022873,0.07611,0.013739,0.006334,0.000805,0.009607,0.003249,0.015822,0.00892,0.015735,0.008283,0.001958,0.009629,0.013463,0.021745,0.004991,0.018641,0.039717,0.007891,0.016534,0.026502,0.009017,0.04276,0.011568,0.001368,0.022793,0.010815,0.00176,0.005103,0.029847,0.003884,0.010128,0.019044,0.020615,0.006994,0.012111,0.019957,0.014655,0.036015,0.013726,0.027258,0.005096,0.039138,0.007504,0.016726,0.010723,0.007496,0.012467,0.007251,0.038859,0.004586,0.018448,0.012418,0.024138,0.005946,0.008374,0.006758,0.004354
201174,Actinobacteria,Bacteria,Actinobacteria,0.029158,0.134261,0.046525,0.046986,0.330316,0.03586,0.040938,0.157166,0.094784,0.355444,0.633078,0.586505,0.299646,0.00374,0.227068,0.014254,0.063752,0.198341,0.393538,0.108156,0.682051,0.296599,0.105463,0.001219,0.000272,0.001719,0.00179,0.000583,0.002756,0.004692,0.003554,0.004148,0.002009,0.006177,0.000668,0.001555,0.002372,0.00243,0.00766,0.001249,0.001164,0.00048,0.007278,0.010044,0.007245,0.009605,0.015924,0.002945,0.007396,0.004648,0.003895,0.001522,0.002628,0.004117,0.019876,0.028535,0.001925,0.002719,0.021309,0.016773,0.016854,0.000659,0.020488,0.005784,0.008095,0.003244,0.000922,0.006281,0.014713,0.000264,0.000822,0.00334,0.002162,0.000768,0.00729,0.009925,0.00033,0.002967,0.001145,0.002503,0.006067,0.001705,0.003818,0.001326,0.000882,0.000696,0.005167,0.001967,0.000192,0.000297,0.046733,0.001876,0.001619,0.000515,0.000629,0.000891,0.001046,0.00082,0.007898,0.000988,0.000895,0.011345,0.002331,0.003977,0.011942,0.00351,0.00056,0.001078,0.004237,0.003883,0.002342,0.00141,0.001379,0.000744,0.003476,0.001688,0.003872,0.000979,0.005345,0.001373,0.007155,0.000378,0.001012,0.000625,0.001234,0.002351,0.019355,0.001454,0.005245,0.001315,0.000509,0.000292,0.003433,0.000481,0.000439,0.003442,0.000554,0.000459,0.002921,0.005012,0.001025,0.00507,0.000157,0.001725,0.000211,0.000458,0.000748,0.000319,0.006451,0.000757,0.003248,0.002571,0.000604,0.002019,0.006386,0.001557,0.003729,0.002347,0.002688,0.000939,0.003221,0.001476,0.008453,0.012174,0.004872,0.005348,0.001184,0.007289,0.002523,0.002802,0.000336,0.023546,0.003817,0.001881,0.003346,0.000852,0.00065,0.007968,0.002353,0.002007,0.054281,0.002279,0.00135,0.00114,0.002433,0.001241,0.001443,0.007931,0.001413,0.000525,0.011314,0.000674,0.000412,0.000257,0.001722,0.002732,0.001371,0.00018,0.001234,0.001239,0.004656,0.002771,0.005258,0.000319,0.002023,0.001842,0.004269,0.00511,0.001639,0.004266,0.001782,0.00125,0.030942,0.006643,0.000731,0.003802,0.005936,0.007984,0.011053,0.001315,0.001066,0.003011,0.005271,0.00253,0.001379,0.007173,0.001731,0.003328,0.002478,0.006056,0.016126,0.018783,0.000276,0.001662,0.007805,0.009975,0.002952,0.00216,0.002104,0.004216,0.006034,0.00104,0.003997,0.002137,0.047507,0.001662,0.001697,0.002974,0.00975,0.00247,0.001565
74201,Verrucomicrobia,Bacteria,Verrucomicrobia,0.00724,0.00426,0.021241,0.03117,0.069792,0.022655,0.038232,0.000019,0.000013,0,0,0,0,0,0.000024,0,0.000021,0,0,0,0,0,0.000203,0,0.000037,0.000025,0,0.000013,0.00119,0.001909,0.007132,0.006006,0.000209,0.002951,0.001301,0.000115,0.000061,0.006845,0.0007,0,0.000034,0.000093,0.021603,0.000299,0.000601,0.000265,0.059304,0.000375,0.08456,0.000012,0.011758,0.007369,0.002161,0.004323,0.000071,0.013767,0.000038,0.000033,0.008351,0.044919,0.009402,0.038668,0.000038,0.000239,0.028285,0.003135,0,0.001802,0.004545,0,0,0,0.000828,0.000608,0,0.026997,0,0.001091,0,0,0.000052,0,0.009191,0.000066,0.000023,0,0.004015,0.000275,0,0,0.000012,0.000104,0,0,0,0.000039,0.000808,0,0.005454,0.000074,0.000041,0.001522,0,0.000455,0.002636,0,0.000475,0.00006,0,0,0.004145,0,0.000028,0,0.003622,0.015669,0.000147,0.017268,0,0.005537,0.000722,0,0,0.008853,0.00197,0.016072,0.000475,0.000899,0.005135,0.000174,0,0.00001,0.00071,0,0,0.004786,0,0.000414,0.007362,0.002546,0,0.002428,0,0.001941,0.000333,0,0.000428,0,0.007046,0,0.002803,0.000011,0,0.000011,0.024442,0,0,0,0.000115,0.000019,0.000014,0.002832,0.000268,0.00001,0,0.000042,0,0.000045,0.000455,0,0.005561,0.000011,0.023437,0.00013,0.003863,0.003716,0,0.000242,0.01302,0,0.00018,0,0.019035,0.000157,0.004906,0,0,0,0.000111,0.000101,0.001784,0,0.000013,0,0.000349,0,0,0.016443,0.0003,0.00029,0.001085,0.015173,0.020376,0,0,0,0.00599,0,0.010993,0.013898,0.002634,0,0.055962,0.008476,0.008721,0.000109,0.118822,0,0,0.000183,0.005176,0.009217,0.000773,0.004165,0.000025,0.001555,0.000011,0.004061,0.000418,0.009076,0.000625,0.000014,0.000112,0.000698,0,0.000049,0.001441,0,0.002872,0.021029,0.015095,0,0.000381,0.004899,0.000033,0.000307,0,0.003153,0.612799,0.000023,0.000027
4890,Ascomycota,Eukaryota,Ascomycota,0.000097,0.000099,0.000048,0.000338,0.000032,0.000093,0.000052,0,0.000011,0.000037,0.000094,0.000029,0.00012,0.000015,0,0.000159,0,0.000016,0.000029,0.000207,0.000091,0.003111,0.000853,0.000333,0.000103,0.000046,0.001105,0.00025,0.000011,0.000043,0.000073,0.000021,0.00007,0.000124,0.000013,0.000046,0.001069,0.000258,0.000098,0,0,0,0.00023,0.000284,0.000076,0.000198,0.000532,0.00006,0.000084,0.000172,0.000204,0,0.000371,0.000661,0.000174,0,0,0.000017,0.00016,0.000037,0,0,0,0,0,0,0,0.341184,0,0,0.00019,0.000011,0,0,0,0,0.000012,0.00001,0,0,0,0,0,0,0,0,0.000015,0,0.311807,0,0.001532,0,0,0,0.000038,0,0,0,0,0,0,0,0,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0.000061,0,0,0,0,0,0,0,0,0,0,0.000018,0.000026,0,0,0.000026,0.000011,0,0,0.000039,0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0.000041,0.000018,0,0,0,0.000034,0,0,0,0,0,0,0,0,0,0,0,0,0.000036,0,0,0,0,0,0,0.000057,0,0.000121,0,0.000038,0.000035,0.000057,0,0,0,0,0.000014,0,0,0.000013,0,0,0,0,0,0.000015,0,0,0.000429,0.00002,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0.000019,0,0,0,0,0,0,0.000059,0.000024,0,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019,0,0,0,0,0.000016,0.000011,0.000018,0.000014,0,0,0.000019,0
28890,Euryarchaeota,Archaea,Euryarchaeota,0.198777,0.004061,0.004185,0.041947,0.032318,0.082011,0.036015,0.000077,0.000054,0.000034,0.000043,0.000041,0.000133,0.000053,0.000075,0.000034,0.000072,0.000097,0.000018,0.000107,0.000028,0.000089,0.00028,0.000139,0,0.000016,0.000108,0.000182,0.000283,0.000263,0.004486,0.000808,0.00025,0.001979,0.000104,0.00006,0.000799,0.000896,0.000745,0.000029,0.000031,0.000011,0.000349,0.00114,0.005745,0.013419,0.011065,0.000181,0.000555,0.000122,0.000399,0.000089,0.000381,0.00093,0.000978,0.000109,0.000041,0.000146,0.00038,0.000482,0.001845,0.000041,0.000202,0.000032,0.000073,0.00004,0.000012,0.000029,0.000065,0,0.000063,0.000045,0.000021,0.000014,0.000014,0.000063,0.000012,0.000015,0,0.001539,0.000066,0.000021,0.000058,0,0.000021,0.000011,0.001278,0.000025,0,0,0.000272,0,0,0.000014,0.00001,0.000015,0,0.000028,0.000012,0.000069,0.000117,0.000429,0.000054,0.000021,0.000045,0.00004,0,0,0.00001,0.001318,0.000462,0.000017,0.000031,0,0.00363,0.00001,0.001279,0.000018,0.000721,0.000012,0.000125,0,0,0,0.00002,0.000052,0.000046,0.000015,0.000047,0.001408,0,0,0.000033,0,0,0.003129,0,0.000018,0.000015,0.000032,0.000258,0.000012,0,0.008704,0,0,0.000027,0,0.000095,0.000012,0.000022,0.000016,0.000014,0.000036,0.000017,0.000014,0.00009,0,0.000243,0.000018,0.000024,0.000357,0.000304,0.000021,0.000053,0.000031,0,0.000644,0.000036,0,0,0.000017,0.00003,0.000102,0.000094,0.000019,0.000012,0.0008,0.000011,0.000024,0.002409,0.000017,0.000037,0.00003,0.000081,0.000015,0.000013,0,0.00001,0.000011,0.000061,0,0,0,0.000064,0.000029,0,0.000056,0.000028,0,0.000035,0.00005,0.000032,0,0.000011,0,0.0018,0,0.000031,0.000055,0.000076,0,0.000259,0.000065,0,0.00008,0.000153,0.000014,0.000018,0.000013,0.000012,0.000012,0.000033,0.000023,0.000229,0.000041,0,0.000026,0.00002,0.000204,0.00003,0.000022,0,0.00002,0.000013,0.000028,0.000026,0.00002,0.000029,0.000493,0.002748,0,0.000011,0.000069,0.000051,0.000033,0,0.000278,0,0.00142,0.000031
32066,Fusobacteria,Bacteria,Fusobacteria,0.066637,0.00057,0.000567,0.001903,0.000451,0.018726,0.000686,0.029622,0.012654,0.000294,0.000161,0.000111,0.000713,0.000326,0.000179,0.000215,0.020636,0.00048,0.001864,0.000598,0.000187,0.000617,0.001131,0.00122,0.000032,0.000046,0.001696,0.002127,0.000684,0.000859,0.003828,0.002148,0.000978,0.003928,0.000234,0.000078,0.000898,0.002269,0.005253,0.000123,0.000123,0.000089,0.001004,0.003982,0.001805,0.001771,0.003091,0.000593,0.001812,0.000524,0.001385,0.000185,0.001042,0.003848,0.002299,0.000205,0.006118,0.000264,0.000984,0.002044,0.001256,0.000293,0.000079,0.000084,0.00012,0.000177,0.000015,0.000133,0.0001,0.000024,0.000056,0.000044,0.000055,0.000025,0.00006,0.000068,0.000014,0.000046,0.000027,0.000069,0.000253,0.00001,0.000064,0,0.000026,0,0.000049,0.00001,0.000061,0.000033,0.000132,0,0.00001,0.000041,0.000037,0.000025,0,0.000083,0.000081,0.000021,0.000028,0.000223,0,0.000025,0.000038,0.00002,0.000017,0.000016,0.000018,0.000061,0.000136,0.000033,0.000039,0.000032,0.000123,0.00003,0.000045,0,0.000036,0.00004,0.000161,0.000039,0.000042,0.000029,0.000027,0.000116,0.00016,0.000051,0.000069,0.000144,0.007704,0.000036,0.000113,0.000014,0.000702,0.000122,0.000016,0.000037,0.000022,0.000211,0.000082,0.000026,0.000017,0.000128,0.001383,0.000017,0.00007,0.000014,0.000379,0.000059,0.000022,0.000043,0.000038,0.000041,0.000053,0.000057,0.000013,0.000036,0.000117,0.0001,0.000029,0.000184,0.000103,0.000077,0.000031,0.000059,0.000021,0.00024,0.000166,0.002017,0.000018,0.000028,0.000065,0.000046,0.000363,0.000087,0.000034,0.00009,0.000014,0.000058,0.000501,0.000068,0.00004,0.000048,0.000117,0.000041,0.000048,0.000034,0.000016,0.000072,0.000071,0.000027,0.000026,0.002207,0.000088,0.000031,0,0.000057,0.000073,0.000034,0.000058,0.000262,0.000033,0.000012,0.000027,0.000165,0.000127,0.000035,0.000037,0.000096,0.000053,0.00078,0.004116,0.000065,0,0.000029,0.000062,0.000053,0.000375,0.000013,0.000022,0.000048,0.00015,0.000107,0.000045,0.000074,0.006518,0.000029,0.000083,0.000045,0.000047,0.000043,0.000015,0.000024,0.000045,0.000098,0.000085,0.000033,0.000025,0.000077,0.000158,0,0.000013,0.000012,0.000086,0.00011,0.000403,0.000038,0.000023,0.00002,0.000069
508458,Synergistetes,Bacteria,Synergistetes,0.001545,0.001057,0.001633,0.002335,0.006959,0.002093,0.001835,0.000116,0.000074,0.000035,0.00003,0.000033,0.00004,0.00002,0.000097,0.000024,0.000115,0.000047,0.000035,0.000037,0.000046,0.000027,0.00001,0.000045,0,0,0.000028,0.000046,0.000288,0.000337,0.00044,0.000275,0.000142,0.000633,0.000112,0.000068,0.000196,0.000281,0.000439,0.00003,0.000032,0,0.000259,0.000509,0.000725,0.000594,0.000727,0.000178,0.000299,0.000091,0.000308,0.000184,0.000387,0.000595,0.000422,0.000145,0.000043,0.000325,0.00067,0.000633,0.000788,0.000041,0.000111,0.000072,0.000276,0.000074,0.00002,0.00007,0.000177,0,0.000025,0.000013,0.000037,0.000018,0.000027,0.000073,0,0.000017,0,0.000034,0.000067,0,0.00002,0,0.000016,0.000013,0.000051,0,0,0,0.000073,0,0,0.000012,0,0.000017,0,0.000025,0.000021,0.000016,0.000035,0.00036,0,0.000014,0.000082,0.00001,0.000013,0,0.000217,0.000041,0.000026,0,0.000011,0,0.000247,0.000019,0.000052,0,0.000052,0.000025,0.000203,0,0,0,0.000046,0.000071,0.000092,0.00002,0.000095,0.000076,0,0,0.000029,0,0,0.000067,0,0.000023,0.000013,0.000107,0.000063,0.000021,0,0.000084,0,0.000016,0.000052,0,0.000102,0,0.000027,0,0.000015,0.000068,0.000039,0.000024,0.000015,0.000021,0.000026,0.000012,0.000025,0.000059,0.000039,0.000034,0,0.000101,0,0.000173,0.000132,0.00001,0,0.000034,0.000075,0.000047,0.000024,0.000014,0,0.000087,0.000018,0.000013,0.000838,0.000018,0.000061,0.000031,0.000117,0,0.000013,0,0.000014,0,0.000111,0,0,0,0.000119,0,0.000011,0,0.000023,0.000011,0.000115,0.000051,0.000073,0,0.000019,0,0.00002,0.000011,0.000064,0.000143,0.000106,0,0.000521,0.000297,0,0.000035,0.000086,0.000014,0.000029,0.000015,0.00001,0.00002,0.000065,0.000057,0.000142,0.000107,0.000014,0.000028,0.000024,0.000096,0.000046,0.000057,0,0.000079,0.000018,0.000534,0.000063,0.000012,0.000041,0.000782,0.000168,0,0.00003,0.000064,0.000099,0.000025,0,0.000109,0.000028,0.000155,0.000028
544448,Tenericutes,Bacteria,Tenericutes,0.0009,0.000258,0.000242,0.000864,0.000409,0.000725,0.000295,0.000067,0.000027,0.000158,0.000025,0.000025,0.000669,0.00007,0.000028,0.000059,0.00005,0.0001,0.00007,0.00046,0.000114,0.000623,0.000805,0.000366,0.000015,0.000015,0.000176,0.00022,0.000607,0.001279,0.00893,0.006607,0.001449,0.005251,0.000259,0.00003,0.001537,0.006783,0.00517,0.000034,0.000125,0,0.002572,0.004015,0.001445,0.000541,0.00826,0.000223,0.000796,0.000204,0.001157,0.000081,0.000437,0.00455,0.000885,0.000107,0.000074,0.000117,0.003067,0.00319,0.002285,0.000129,0.000054,0.000145,0.000425,0.000437,0.000016,0.000041,0.000078,0.000025,0.000022,0.000029,0.000049,0.000025,0.000011,0.000087,0.000013,0.000028,0,0.000089,0.000677,0,0.000047,0,0.000026,0,0.000115,0,0,0,0.000157,0.000022,0,0.000032,0.000025,0.000023,0,0.00037,0.000015,0.000071,0.00005,0.000112,0,0,0.000028,0,0.000038,0,0.000015,0.000074,0.000225,0.000022,0.000041,0.000022,0.000275,0.000019,0.000091,0,0.000018,0.000279,0.000661,0,0,0,0.000089,0.000413,0.000482,0.000069,0.000072,0.000599,0,0,0.000323,0.000013,0,0.000826,0,0.000237,0.000024,0.000518,0.000047,0.00004,0.000011,0.000218,0,0.000017,0.000062,0,0.000101,0.000071,0.000023,0,0.000026,0.000049,0.000018,0.000148,0,0,0.000301,0.000077,0.000062,0.00085,0.000274,0,0.000015,0.000032,0.000011,0.001019,0.000524,0.000016,0.000018,0.000045,0.000246,0.000046,0.000535,0.000011,0.000018,0.000788,0.000019,0.000035,0.000517,0.000023,0.000018,0.000071,0.000402,0,0.000011,0,0.000034,0.000078,0.000052,0.000016,0.00001,0,0.000162,0.000037,0.00002,0.00005,0.000084,0,0.000026,0.000507,0.000042,0.000011,0,0,0.000477,0,0,0.00008,0.000098,0.00001,0.00005,0.00007,0,0.000059,0.00005,0.000066,0.000026,0.000014,0.000023,0.000021,0.000371,0.000221,0.000032,0.000167,0.000019,0.00002,0.000093,0.000075,0.00013,0.000016,0.000011,0.00006,0,0.000029,0.000101,0.00001,0.000044,0.000128,0.000447,0,0.000019,0.000013,0.000031,0.000016,0,0.000089,0.000012,0.000025,0.000022
